text,true,finbert_pred,vader_pred,finbert_positive,finbert_negative,finbert_neutral
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,negative,0.10340672731399536,0.01086191926151514,0.8857313990592957
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive,positive,positive,0.9478998184204102,0.0124339759349823,0.03966614976525307
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,positive,0.9481975436210632,0.026034733280539513,0.02576763927936554
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,positive,0.9570419788360596,0.016627131029963493,0.02633088454604149
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,positive,0.9524030685424805,0.0256551131606102,0.021941810846328735
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,positive,0.9550249576568604,0.026857426390051842,0.018117642030119896
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,positive,positive,0.9371809959411621,0.008535375818610191,0.05428358539938927
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,positive,positive,0.9351177215576172,0.010785887949168682,0.054096437990665436
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,positive,positive,0.8764342665672302,0.011526922695338726,0.112038753926754
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,positive,0.9526545405387878,0.024665487930178642,0.02267998270690441
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,positive,0.9535664319992065,0.023198267444968224,0.023235339671373367
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,positive,0.9587922692298889,0.02044663578271866,0.020761139690876007
